city,rent_weekly,income_weekly,transport_weekly,grocery_weekly,tuition_weekly,study_hours,work_hours,commute_hours,total_expenses,savings_weekly,financial_stress
Brisbane,445,674,49,102,227,39,16,1.4540526104415097,823,-149,1
Brisbane,324,462,37,141,130,47,6,2.0450938116923925,632,-170,1
Melbourne,467,198,43,148,275,27,5,2.2961036868388534,933,-735,1
Brisbane,330,267,28,112,225,30,1,1.480073837008978,695,-428,1
Brisbane,436,203,50,60,337,35,10,2.762323792454538,883,-680,1
Sydney,217,193,34,80,146,28,6,1.900009973072296,477,-284,1
Melbourne,239,202,23,98,305,22,7,1.6259751910148275,665,-463,1
Sydney,220,674,59,149,319,24,4,2.116681882899763,747,-73,1
Sydney,598,251,28,143,280,39,17,2.882009620622933,1049,-798,1
Sydney,424,547,28,136,206,33,15,2.486380736054264,794,-247,1
Sydney,554,287,45,68,307,47,13,0.6000328263378109,974,-687,1
Sydney,481,536,23,61,118,45,11,1.330774776849899,683,-147,1
Sydney,207,260,36,64,180,34,16,1.6763617123780568,487,-227,1
Sydney,299,166,35,80,222,25,4,1.2862939305227632,636,-470,1
Melbourne,439,331,34,92,317,46,13,2.2504689020761415,882,-551,1
Brisbane,286,685,54,86,233,45,5,2.5656728746564528,659,26,1
Sydney,497,690,24,128,206,23,14,2.328362737963179,855,-165,1
Sydney,213,320,24,78,148,27,6,2.9733332170706883,463,-143,1
Sydney,533,558,39,75,172,38,13,1.1813691197325729,819,-261,1
Sydney,201,527,34,51,149,46,17,2.687473737561054,435,92,0
Sydney,574,337,37,133,180,24,0,2.4165566629362156,924,-587,1
Sydney,492,379,21,64,194,32,5,1.4054468938953653,771,-392,1
Brisbane,524,268,48,53,111,35,2,2.3353113591424215,736,-468,1
Brisbane,240,305,32,135,122,20,4,0.7601898910456174,529,-224,1
Sydney,517,614,23,99,153,32,11,2.4733337058513807,792,-178,1
Brisbane,515,253,29,87,217,41,10,1.8308265064677567,848,-595,1
Melbourne,580,651,50,72,296,30,12,1.2307254317731329,998,-347,1
Sydney,310,324,27,108,334,40,15,2.1394432544604505,779,-455,1
Melbourne,213,570,22,139,327,27,17,2.1040499967860224,701,-131,1
Melbourne,430,283,28,124,158,44,16,1.0237155567989993,740,-457,1
Sydney,283,540,49,77,263,27,16,0.5759935370288154,672,-132,1
Brisbane,329,650,30,115,102,43,10,1.5840564672541846,576,74,0
Melbourne,430,182,54,57,157,47,19,1.923779673361053,698,-516,1
Sydney,525,204,56,78,315,33,9,2.691513195926496,974,-770,1
Melbourne,344,668,32,60,282,32,15,2.8205419891189862,718,-50,1
Melbourne,578,161,55,67,156,22,1,1.822013045391916,856,-695,1
Melbourne,544,677,32,104,244,23,16,2.3845087094213624,924,-247,1
Melbourne,227,522,31,99,266,46,19,1.5982581808199923,623,-101,1
Brisbane,265,633,56,63,189,39,9,2.3652053914322324,573,60,0
Melbourne,362,377,29,123,295,34,12,1.0120038123479174,809,-432,1
Melbourne,428,456,28,148,154,34,11,1.4276618370088285,758,-302,1
Melbourne,460,606,26,58,144,49,14,2.085569997034037,688,-82,1
Brisbane,363,309,21,148,303,46,6,0.545394914017697,835,-526,1
Melbourne,500,480,42,60,100,40,12,2.306153275847385,702,-222,1
Melbourne,502,374,58,112,120,32,11,2.588838753170417,792,-418,1
Brisbane,486,653,59,125,310,28,11,1.4978541527348785,980,-327,1
Brisbane,594,605,58,116,120,47,1,1.6198560429429107,888,-283,1
Brisbane,209,194,40,102,151,44,4,2.6282055305413277,502,-308,1
Melbourne,394,363,42,88,181,29,1,2.4391365883150833,705,-342,1
Brisbane,317,208,48,127,270,48,19,1.2203737225834375,762,-554,1
Brisbane,469,344,33,105,279,31,12,1.3099402664038475,886,-542,1
Melbourne,279,638,45,77,166,33,2,2.1971955809764916,567,71,0
Brisbane,292,306,24,124,212,20,10,1.907995231120403,652,-346,1
Melbourne,465,375,50,88,143,33,15,0.9055739277412423,746,-371,1
Sydney,531,561,44,74,259,33,0,1.274824773072916,908,-347,1
Brisbane,549,354,50,70,109,27,18,2.7499581921966354,778,-424,1
Sydney,560,228,39,59,163,35,10,2.2204360918056585,821,-593,1
Melbourne,456,273,36,92,331,33,8,2.964935794213799,915,-642,1
Brisbane,332,620,21,64,306,20,13,2.4175313249519235,723,-103,1
Melbourne,475,367,44,132,168,35,8,2.8549360803589754,819,-452,1
Sydney,463,665,32,97,167,37,6,1.0404714346761885,759,-94,1
Melbourne,370,253,58,135,349,26,15,2.4287121870423145,912,-659,1
Brisbane,200,542,47,70,127,34,2,0.5505438003694936,444,98,0
Brisbane,512,583,25,109,280,43,18,2.1769000542788346,926,-343,1
Sydney,263,480,22,145,215,36,3,1.6732056953006034,645,-165,1
Melbourne,573,292,54,99,150,38,6,1.3669001798001716,876,-584,1
Brisbane,483,689,37,72,280,42,11,2.6560108807327225,872,-183,1
Sydney,320,427,30,62,103,32,17,2.635669231643827,515,-88,1
Brisbane,306,382,39,118,178,28,4,0.555754262246609,641,-259,1
Brisbane,374,678,24,53,116,43,9,2.0237628061235773,567,111,0
Melbourne,403,239,38,141,207,43,11,1.419580560802391,789,-550,1
Brisbane,364,641,41,127,294,34,7,1.539152503751123,826,-185,1
Melbourne,504,348,38,121,173,44,18,2.5801018480469398,836,-488,1
Brisbane,319,511,35,58,274,45,14,1.2745994288191957,686,-175,1
Sydney,243,590,43,84,333,22,0,2.85762202659405,703,-113,1
Brisbane,511,175,23,70,283,43,2,0.949084565930352,887,-712,1
Melbourne,355,174,34,107,122,20,17,2.1568060584204445,618,-444,1
Melbourne,566,543,44,67,117,35,17,2.1802626675344117,794,-251,1
Sydney,406,656,54,146,228,27,1,1.1304879035697954,834,-178,1
Brisbane,589,450,33,121,134,48,4,1.311876522418005,877,-427,1
Brisbane,307,488,38,130,163,42,0,2.586996231449851,638,-150,1
Sydney,450,416,57,92,344,32,9,2.404513137387381,943,-527,1
Brisbane,569,610,55,144,285,27,19,1.3227397007868988,1053,-443,1
Brisbane,533,605,26,147,322,36,9,1.8348913673373346,1028,-423,1
Melbourne,329,509,49,55,158,41,4,0.6542007406327386,591,-82,1
Brisbane,492,217,38,135,335,42,17,1.021864705996573,1000,-783,1
Brisbane,219,561,44,127,100,33,14,1.7145513971509978,490,71,0
Sydney,481,640,35,116,230,46,19,0.714934338198029,862,-222,1
Sydney,484,198,59,61,166,40,7,2.608330887229844,770,-572,1
Melbourne,200,251,27,149,136,49,16,2.2950155252691196,512,-261,1
Brisbane,318,365,37,61,310,40,11,2.859084176621237,726,-361,1
Brisbane,234,587,47,115,128,26,11,2.2336672649100677,524,63,0
Brisbane,397,308,35,51,188,46,0,2.8510034306554637,671,-363,1
Melbourne,444,638,38,64,260,34,3,1.8862813892274126,806,-168,1
Melbourne,258,391,36,72,199,35,7,2.0005465276549232,565,-174,1
Sydney,524,154,32,78,288,38,0,2.942427636565652,922,-768,1
Melbourne,360,510,26,130,320,25,14,2.105322867160651,836,-326,1
Brisbane,378,608,46,145,221,42,17,0.5769664221518664,790,-182,1
Brisbane,405,397,29,56,189,20,0,2.3095069415763083,679,-282,1
Melbourne,211,571,53,143,231,31,10,2.763671730343539,638,-67,1
Brisbane,475,164,55,77,340,37,1,2.4889506244858164,947,-783,1
Brisbane,380,271,44,63,113,35,0,1.9595831815635565,600,-329,1
Melbourne,441,426,25,93,341,31,11,2.1782587827337907,900,-474,1
Melbourne,415,602,43,79,318,39,15,2.9754794731291794,855,-253,1
Brisbane,450,539,37,130,260,32,9,0.7266552212733458,877,-338,1
Brisbane,498,443,42,81,249,27,17,2.168112071583099,870,-427,1
Brisbane,325,595,25,119,275,46,14,1.2084942364264846,744,-149,1
Sydney,416,359,48,137,230,48,16,2.1002259914654253,831,-472,1
Sydney,505,451,44,55,314,49,9,2.019058939709847,918,-467,1
Sydney,484,372,36,76,184,45,2,0.8836420802704053,780,-408,1
Melbourne,384,152,43,131,332,41,15,1.0168666143505978,890,-738,1
Sydney,238,667,30,137,250,20,5,2.054073945108034,655,12,1
Melbourne,422,242,45,73,295,45,2,0.8205748682594354,835,-593,1
Melbourne,383,669,53,83,120,40,8,1.1629521878258071,639,30,1
Sydney,377,577,47,89,328,26,10,2.588113869345006,841,-264,1
Sydney,493,642,22,96,270,34,12,1.3177287650040965,881,-239,1
Sydney,539,384,30,128,322,48,17,1.7201503906741573,1019,-635,1
Brisbane,350,310,57,124,312,41,3,2.852850837864601,843,-533,1
Sydney,583,480,33,135,125,32,7,1.0678727220923658,876,-396,1
Brisbane,325,482,45,73,140,32,12,1.474065043395026,583,-101,1
Melbourne,500,199,40,114,221,47,9,2.016144438858864,875,-676,1
Brisbane,507,672,58,67,326,28,1,2.3883473237599304,958,-286,1
Sydney,535,641,49,93,137,43,7,2.754133466781763,814,-173,1
Melbourne,433,421,27,125,187,34,5,2.788682468933788,772,-351,1
Melbourne,579,401,39,106,110,23,15,2.4416001859315575,834,-433,1
Melbourne,574,239,51,77,332,32,17,1.070827091483276,1034,-795,1
Brisbane,207,595,41,120,128,46,16,0.5620233251064145,496,99,0
Sydney,540,481,26,72,338,31,5,1.4594348258890595,976,-495,1
Melbourne,328,288,28,134,346,24,12,0.8538721274695583,836,-548,1
Melbourne,463,506,20,83,159,26,13,2.275969118595745,725,-219,1
Melbourne,356,423,48,60,294,27,9,2.152826467064292,758,-335,1
Brisbane,551,168,27,135,292,24,10,0.6099291040536371,1005,-837,1
Brisbane,557,460,23,84,343,28,12,2.5914844478273777,1007,-547,1
Sydney,204,303,54,142,160,33,11,1.1218581657279556,560,-257,1
Brisbane,285,539,22,91,345,45,8,1.5805676887276054,743,-204,1
Melbourne,374,409,59,77,246,31,3,2.169834338639356,756,-347,1
Sydney,489,274,26,131,273,23,6,1.5735469671306332,919,-645,1
Melbourne,392,503,46,127,276,39,1,1.6032195069998585,841,-338,1
Melbourne,510,422,20,131,121,48,6,0.6640699883393509,782,-360,1
Brisbane,318,394,46,141,177,27,8,1.5036088731500095,682,-288,1
Sydney,417,599,35,73,212,36,4,2.4121197330499586,737,-138,1
Brisbane,313,396,57,57,284,27,14,2.7879408429664942,711,-315,1
Brisbane,344,669,26,102,222,40,17,1.5337428426584294,694,-25,1
Sydney,225,290,42,121,241,48,3,1.5589645671976973,629,-339,1
Melbourne,335,511,30,53,143,49,18,2.2565677658091303,561,-50,1
Melbourne,502,157,52,140,243,46,19,2.8569300027631916,937,-780,1
Sydney,431,627,55,149,196,20,6,1.1676523505984004,831,-204,1
Melbourne,568,501,56,54,176,39,7,1.6003605163448422,854,-353,1
Sydney,275,644,36,146,329,21,16,2.489933108880753,786,-142,1
Sydney,527,576,54,98,340,23,12,2.024233923435096,1019,-443,1
Brisbane,544,188,24,147,239,43,10,0.7764658599098868,954,-766,1
Sydney,501,336,51,79,154,40,0,2.069331838905664,785,-449,1
Brisbane,488,242,22,121,150,20,1,0.9668657114933172,781,-539,1
Melbourne,200,235,54,112,201,26,16,1.7755398351960103,567,-332,1
Melbourne,346,193,33,96,266,20,4,1.8227581691510961,741,-548,1
Melbourne,486,286,50,75,260,28,5,2.690508405562462,871,-585,1
Melbourne,341,570,50,106,260,22,6,1.6562356850310953,757,-187,1
Brisbane,252,223,36,86,128,31,14,1.1986060555897355,502,-279,1
Melbourne,503,697,43,147,168,38,18,1.077415870540079,861,-164,1
Sydney,268,661,42,56,297,34,15,2.68562969171084,663,-2,1
Sydney,560,305,37,89,258,41,12,0.927527136045571,944,-639,1
Sydney,289,404,33,141,179,35,4,1.5646714022078594,642,-238,1
Brisbane,419,320,34,88,130,29,2,0.9679327873173675,671,-351,1
Melbourne,391,319,34,111,316,41,2,2.4332601002859384,852,-533,1
Melbourne,262,471,25,141,211,48,18,1.6859315999365474,639,-168,1
Melbourne,272,605,46,127,145,46,13,1.3778592263920302,590,15,1
Brisbane,360,304,34,102,196,46,15,1.402749101566167,692,-388,1
Sydney,368,498,55,53,304,25,16,2.6305355168074485,780,-282,1
Sydney,288,600,27,131,151,48,3,1.8844348857360953,597,3,1
Melbourne,375,322,34,74,237,36,12,2.294669627828159,720,-398,1
Sydney,468,159,22,56,315,40,7,2.7425962906267114,861,-702,1
Sydney,272,414,32,77,173,47,18,2.754354190101605,554,-140,1
Brisbane,444,587,53,118,140,41,4,1.3212726358446578,755,-168,1
Brisbane,276,396,43,116,322,43,1,2.8811281578659633,757,-361,1
Brisbane,358,695,59,144,176,48,14,0.5621897050365137,737,-42,1
Brisbane,523,648,51,69,230,36,1,1.4420889025404142,873,-225,1
Melbourne,297,278,51,132,286,40,10,2.739497143772104,766,-488,1
Brisbane,580,476,49,60,213,38,12,1.1865921995424573,902,-426,1
Sydney,301,553,32,116,151,37,9,1.182703625803296,600,-47,1
Melbourne,331,508,20,136,261,30,2,1.2565557127047218,748,-240,1
Sydney,301,166,53,56,276,43,4,2.0307834621173058,686,-520,1
Sydney,218,423,34,72,255,26,2,1.5958319390358846,579,-156,1
Sydney,281,265,33,110,310,29,5,2.3168370908833564,734,-469,1
Brisbane,596,240,48,120,186,26,12,2.7372766064116645,950,-710,1
Brisbane,478,231,53,83,208,24,9,2.1854984373571518,822,-591,1
Melbourne,538,473,37,68,323,31,18,1.0111668004939387,966,-493,1
Melbourne,564,263,26,107,240,35,7,2.8317047559012556,937,-674,1
Brisbane,530,207,48,58,324,48,17,1.1612321833686963,960,-753,1
Sydney,328,303,50,97,325,44,2,0.8747357383203953,800,-497,1
Melbourne,543,553,44,131,324,40,16,0.7249181971524022,1042,-489,1
Brisbane,509,415,57,90,347,37,7,1.908459351665414,1003,-588,1
Brisbane,288,464,33,97,168,22,9,0.7844061562016296,586,-122,1
Brisbane,412,190,27,94,219,39,1,0.8469397102815769,752,-562,1
Sydney,342,254,46,74,166,34,11,1.2500762014887417,628,-374,1
Brisbane,264,342,21,127,160,24,5,1.2041325242111596,572,-230,1
Brisbane,275,550,36,74,287,32,1,2.010598775830356,672,-122,1
Brisbane,398,427,56,68,170,38,2,2.5418631986817037,692,-265,1
Brisbane,342,503,33,88,251,31,16,2.403374140507231,714,-211,1
Melbourne,515,405,44,128,290,49,6,1.1562111367911918,977,-572,1
Melbourne,292,248,49,129,313,42,4,1.1132762449649498,783,-535,1
Brisbane,504,431,48,76,336,40,0,2.914478825267419,964,-533,1
Sydney,423,552,39,123,288,24,7,0.5205906039799003,873,-321,1
Melbourne,490,258,40,112,250,25,11,2.6993013326505393,892,-634,1
Brisbane,301,348,41,117,129,26,13,0.9993212978060124,588,-240,1
Melbourne,466,452,54,68,287,45,15,2.8682108077244197,875,-423,1
Melbourne,554,476,56,77,245,29,9,1.3557682120687993,932,-456,1
Sydney,309,303,35,134,195,35,14,1.6008794347331308,673,-370,1
Brisbane,529,554,36,127,155,27,14,2.2678015348609524,847,-293,1
Brisbane,464,611,35,82,152,28,9,1.9691726286831508,733,-122,1
Sydney,202,281,21,59,106,46,6,1.294848324267057,388,-107,1
Sydney,284,233,23,132,196,23,2,1.8845772896695587,635,-402,1
Brisbane,481,548,40,79,296,40,1,2.3267672109072155,896,-348,1
Brisbane,527,258,58,71,212,40,5,0.6058373647562303,868,-610,1
Sydney,503,370,53,52,319,27,8,0.5279982631392603,927,-557,1
Melbourne,316,517,49,131,224,44,9,1.6451673476822282,720,-203,1
Melbourne,420,296,25,124,299,26,3,0.8295915445087855,868,-572,1
Sydney,353,261,36,97,306,34,2,2.160860728661786,792,-531,1
Melbourne,352,643,58,51,279,40,8,1.0351311405685855,740,-97,1
Sydney,211,654,44,125,231,22,16,1.5821277669891773,611,43,1
Melbourne,332,624,24,103,261,36,13,0.9941773421856723,720,-96,1
Melbourne,503,420,24,55,296,30,9,1.8712089643728111,878,-458,1
Brisbane,492,570,39,89,260,28,12,0.7901336484614223,880,-310,1
Brisbane,499,516,35,142,220,24,11,0.5577671319687006,896,-380,1
Melbourne,427,429,56,143,296,44,0,0.6278290952667429,922,-493,1
Melbourne,470,432,59,51,137,29,18,2.885646103788275,717,-285,1
Brisbane,242,189,28,122,325,34,18,0.8557155465273396,717,-528,1
Brisbane,542,338,24,51,221,47,5,2.271195632842088,838,-500,1
Brisbane,525,313,21,142,125,48,12,0.6698155105570656,813,-500,1
Sydney,501,685,28,146,228,33,18,0.7704008805879554,903,-218,1
Melbourne,563,685,55,123,103,23,12,1.7721906285233366,844,-159,1
Brisbane,578,153,41,147,138,40,3,1.6621773253858592,904,-751,1
Melbourne,220,439,41,104,153,39,1,2.8789507735996738,518,-79,1
Sydney,306,582,41,121,317,21,14,2.8620886325518433,785,-203,1
Sydney,535,620,53,109,260,31,11,2.4490216063561627,957,-337,1
Brisbane,502,330,48,146,132,20,6,2.005254575318374,828,-498,1
Sydney,316,397,57,55,299,43,19,1.6374007934825277,727,-330,1
Melbourne,323,428,52,68,119,39,17,1.3904463358210526,562,-134,1
Brisbane,598,403,37,145,115,24,12,2.8677188674388887,895,-492,1
Melbourne,480,330,26,76,248,25,16,2.007272028561714,830,-500,1
Melbourne,491,658,20,50,272,49,3,1.9476813192149862,833,-175,1
Sydney,402,475,52,82,346,43,13,1.079752804422287,882,-407,1
Sydney,250,506,20,89,347,30,19,0.6167445447127826,706,-200,1
Sydney,470,540,43,81,226,27,12,2.862971449398861,820,-280,1
Sydney,523,234,23,118,317,26,2,1.2843381471116349,981,-747,1
Sydney,476,466,23,66,186,23,17,1.6064725583111468,751,-285,1
Brisbane,340,361,37,57,181,25,13,0.7865998589642671,615,-254,1
Melbourne,474,664,46,106,161,35,14,2.59231082477323,787,-123,1
Melbourne,489,533,51,91,130,39,2,0.5690795821398266,761,-228,1
Melbourne,533,491,52,147,343,34,0,2.5849769052477414,1075,-584,1
Melbourne,580,187,47,58,141,33,16,0.8507125319699169,826,-639,1
Sydney,572,660,55,136,111,42,2,2.7164102815778803,874,-214,1
Melbourne,251,569,25,84,164,31,13,2.3244315933403934,524,45,1
Brisbane,226,318,35,120,333,48,2,0.9116756562682627,714,-396,1
Brisbane,356,492,53,128,172,31,12,1.9145449821486702,709,-217,1
Melbourne,438,455,42,102,230,35,14,1.2816407858880488,812,-357,1
Melbourne,355,691,43,103,214,34,17,0.9455827472789586,715,-24,1
Brisbane,490,686,32,133,317,48,13,2.647955498527771,972,-286,1
Brisbane,335,261,37,74,236,32,2,1.5088069162680735,682,-421,1
Sydney,343,560,32,116,205,30,18,1.4963592859134562,696,-136,1
Brisbane,305,355,56,111,278,49,7,0.92471668701655,750,-395,1
Sydney,357,334,58,104,115,36,3,1.4576641902144467,634,-300,1
Sydney,345,531,36,95,315,40,3,2.6790421158221256,791,-260,1
Sydney,201,645,34,73,341,34,18,1.4078217762240897,649,-4,1
Sydney,276,528,37,147,177,33,10,2.87900890624947,637,-109,1
Sydney,331,196,42,95,224,29,0,2.865772248020969,692,-496,1
Melbourne,289,677,49,71,230,31,7,0.8622466482683651,639,38,1
Brisbane,544,653,53,60,325,35,14,0.9432781338066122,982,-329,1
Sydney,549,171,23,97,324,34,0,2.6566851758297227,993,-822,1
Brisbane,462,362,22,57,341,29,6,1.4819022973117981,882,-520,1
Brisbane,550,459,26,88,251,23,19,0.5109349557075233,915,-456,1
Sydney,307,421,37,84,300,46,19,1.1846795492634274,728,-307,1
Melbourne,273,351,26,98,240,42,10,1.9940724829888998,637,-286,1
Sydney,238,181,59,95,229,48,13,2.49816491489992,621,-440,1
Melbourne,596,592,25,87,298,28,15,0.8334715427331489,1006,-414,1
Brisbane,358,311,41,57,211,40,13,0.7763534110418384,667,-356,1
Melbourne,270,403,20,103,226,39,11,2.805231633930829,619,-216,1
Melbourne,511,670,23,86,120,28,16,2.3778709195564565,740,-70,1
Melbourne,440,629,48,140,246,40,13,1.9744490019451961,874,-245,1
Brisbane,497,159,40,141,188,44,9,2.42296697498982,866,-707,1
Brisbane,235,654,45,89,146,43,13,1.572135903266596,515,139,0
Melbourne,283,585,33,83,249,39,17,2.3961393682728165,648,-63,1
Melbourne,573,260,28,145,302,30,8,1.4295074781863395,1048,-788,1
Sydney,462,302,31,128,260,30,16,1.1102364312315058,881,-579,1
Melbourne,509,251,25,66,259,26,5,2.3225335532324216,859,-608,1
Sydney,584,340,39,82,291,40,7,1.5491807303931708,996,-656,1
Melbourne,371,230,43,96,184,29,12,2.953442760815487,694,-464,1
Sydney,575,638,46,101,266,23,17,1.3737129557702525,988,-350,1
Brisbane,372,237,57,129,227,24,4,2.8043185513276647,785,-548,1
Melbourne,561,343,27,142,311,24,5,2.8324063714176986,1041,-698,1
Melbourne,246,253,20,58,171,30,18,1.1046323676618655,495,-242,1
Melbourne,578,245,43,82,141,28,3,2.4955529539700336,844,-599,1
Melbourne,340,572,26,109,328,47,6,1.582686262861413,803,-231,1
Sydney,574,347,38,142,108,35,3,2.79381181807587,862,-515,1
Melbourne,317,150,41,126,124,28,10,1.6253106815880969,608,-458,1
Brisbane,476,556,54,70,316,41,11,2.360759293343415,916,-360,1
Brisbane,413,527,49,107,324,49,13,1.6674185229094947,893,-366,1
Melbourne,419,316,48,134,101,23,12,1.0695018892821404,702,-386,1
Brisbane,592,658,41,118,118,21,9,0.9983753223617158,869,-211,1
Melbourne,225,462,30,59,337,33,17,1.563577985640864,651,-189,1
Melbourne,208,567,39,55,119,22,15,2.3887366425355374,421,146,0
Brisbane,470,626,48,62,333,37,4,2.0126787129519172,913,-287,1
Melbourne,209,222,53,114,332,40,7,2.221573224751358,708,-486,1
Brisbane,577,290,20,69,333,25,13,1.2058158768298561,999,-709,1
Sydney,320,411,50,106,320,30,4,1.7035883648940138,796,-385,1
Melbourne,324,489,49,95,169,40,7,0.6109881624233175,637,-148,1
Sydney,369,457,37,57,116,37,5,2.5438310398953017,579,-122,1
Brisbane,271,394,36,59,223,31,15,2.9747304055996864,589,-195,1
Sydney,351,664,57,122,188,24,3,1.5171976565616772,718,-54,1
Sydney,407,486,33,116,329,28,11,0.5274091328288584,885,-399,1
Brisbane,248,225,42,60,295,39,10,0.9244815988773685,645,-420,1
Sydney,353,324,44,61,193,47,2,2.131317194376047,651,-327,1
Sydney,546,258,34,59,183,45,11,2.030198295509648,822,-564,1
Brisbane,492,332,41,74,230,37,4,2.46966179896386,837,-505,1
Sydney,267,341,22,98,186,38,5,1.1347100274026705,573,-232,1
Brisbane,249,214,38,98,150,22,18,2.4090797888678352,535,-321,1
Sydney,351,623,53,138,181,28,17,2.2199600538091744,723,-100,1
Brisbane,218,249,54,60,253,23,15,1.3070362442846082,585,-336,1
Brisbane,299,693,20,111,283,36,10,1.863720370142405,713,-20,1
Sydney,259,277,40,85,327,36,4,0.8681845212458168,711,-434,1
Sydney,366,601,48,88,291,42,8,1.6314112585889566,793,-192,1
Sydney,401,518,25,102,107,42,2,2.7029933488891023,635,-117,1
Melbourne,544,192,56,139,308,21,7,1.552978449563477,1047,-855,1
Melbourne,345,568,20,127,322,28,5,2.598916766188555,814,-246,1
Melbourne,363,637,20,105,264,28,3,1.975633413149236,752,-115,1
Brisbane,441,227,46,50,336,24,11,0.979691782755892,873,-646,1
Sydney,268,419,40,105,220,34,11,1.952765611744741,633,-214,1
Brisbane,374,464,35,53,324,34,15,1.7649583228926586,786,-322,1
Melbourne,248,317,59,79,254,22,9,1.49660333799096,640,-323,1
Sydney,307,488,45,61,272,38,13,0.7990760987901758,685,-197,1
Brisbane,425,342,35,84,103,47,12,1.5417716596180746,647,-305,1
Sydney,360,602,47,126,185,22,8,0.6819059405990677,718,-116,1
Brisbane,318,432,20,101,227,25,6,0.7469226284968782,666,-234,1
Sydney,348,485,55,80,317,23,11,1.53979133233179,800,-315,1
Melbourne,349,539,29,136,323,43,4,1.2634537049211594,837,-298,1
Melbourne,492,674,36,117,315,32,17,2.8138608146555586,960,-286,1
Sydney,342,389,42,101,209,46,3,1.4392645134506763,694,-305,1
